transaction_id,customer_id,transaction_date,amount,transaction_type,status
T001,C001,2024-08-01,1500.50,RECHARGE,SUCCESS
T002,C002,2024-08-02,850.00,BILL_PAYMENT,SUCCESS
T003,C003,2024-08-03,2200.75,RECHARGE,SUCCESS
T004,C001,2024-08-04,450.00,BILL_PAYMENT,FAILED
T005,C004,2024-08-05,1200.00,RECHARGE,SUCCESS
T006,C005,2024-08-06,750.25,BILL_PAYMENT,SUCCESS
T007,C006,2024-08-07,3100.00,RECHARGE,SUCCESS
T008,C007,2024-08-08,950.50,BILL_PAYMENT,SUCCESS
T009,C008,2024-08-09,1800.00,RECHARGE,SUCCESS
T010,C009,2024-08-10,650.75,BILL_PAYMENT,SUCCESS
T011,C010,2024-08-11,2750.00,RECHARGE,SUCCESS
T012,C003,2024-08-12,500.00,BILL_PAYMENT,SUCCESS
T013,C005,2024-08-13,900.00,RECHARGE,SUCCESS
T014,C002,2024-08-14,1100.50,BILL_PAYMENT,SUCCESS
T015,C004,2024-08-15,2500.00,RECHARGE,SUCCESS
